"amenity","latitude","longitude","type"
"Hemsley Ave",1.368908035,103.8656251,"Bus Stop"
"Opp Daikin S'pore",1.3708276,103.8654177,"Bus Stop"
"Daikin S'pore",1.371141961,103.8652534,"Bus Stop"
"Blk 207",1.365670448,103.8434104,"Bus Stop"
"Aft Blk 304",1.366186667,103.8441833,"Bus Stop"
"Ntuc Fairprice (Ang Mo Kio Blk 215)",1.366557975,103.8416253,"Market"
"Sheng Siong Hypermarket(Ang Mo Kio 122)",1.370186429,103.8434099,"Market"
"Opp Blk 506a",1.372976443,103.8752642,"Bus Stop"
"Opp Gracehaven S Army",1.372121197,103.8765394,"Bus Stop"
"Gracehaven S Army",1.372023302,103.876909,"Bus Stop"
"Opp Blk 710",1.371373023,103.8486611,"Bus Stop"
"Jubilee",1.371619722,103.8482886,"Bus Stop"
"Blk 310",1.364336649,103.8449067,"Bus Stop"
"Aft Pasir Ris Ctrl",1.371163371,103.9483811,"Bus Stop"
"Bef Pasir Ris St 53",1.372831177,103.9476587,"Bus Stop"
"Blk 537",1.373655,103.8734072,"Bus Stop"
"Loyang Valley",1.369551116,103.9706405,"Bus Stop"
"Opp Loyang Valley",1.369058892,103.9696833,"Bus Stop"
"Blk 242",1.371365031,103.9622142,"Bus Stop"
"Opp Blk 242",1.371346892,103.9620566,"Bus Stop"
"Greenview Sec Sch",1.370058899,103.9636652,"Bus Stop"
"Blk 538",1.375121741,103.873182,"Bus Stop"
"Blk 569",1.370007837,103.9487424,"Bus Stop"
"Blk 210",1.366776068,103.9611374,"Bus Stop"
"Blk 197",1.366253108,103.9611812,"Bus Stop"
"Blk 204",1.367902559,103.9624368,"Bus Stop"
"Blk 112",1.369273065,103.8719488,"Bus Stop"
"Icb Shopping Centre",1.354580723,103.8777884,"Shopping Mall"
"Defu Mrt Due 2029",1.36223,103.8993466,"Train"
"Naung Ct",1.367563333,103.8927594,"Bus Stop"
"Blk 302",1.368308353,103.8939384,"Bus Stop"
"Nativity Ch Ctr",1.366379999,103.8919472,"Bus Stop"
"Heartland Mall-Kovan",1.359591697,103.8852282,"Shopping Mall"
"Bef New Loyang Link",1.367295511,103.9684431,"Bus Stop"
"Opp Blk 315",1.363898056,103.8458592,"Bus Stop"
"Bishan North Shopping Mall",1.358143657,103.8447557,"Shopping Mall"
"Ntuc Fairprice (Pasir Ris West Plaza)",1.379783787,103.9362227,"Market"
"Pasir Ris West Plaza",1.379783102,103.9366297,"Shopping Mall"
"Lorong Chuan Mrt Station",1.351668598,103.8644318,"Train"
"Opp Kingswear Ave",1.367243059,103.8665382,"Bus Stop"
"Opp Blk 709",1.367514029,103.8888299,"Bus Stop"
"Blk 708",1.366872071,103.8892336,"Bus Stop"
"Opp Hougang Swim Cplx",1.369226389,103.8878639,"Bus Stop"
"Lloyd Leas Work Rel Camp",1.36515666,103.9752874,"Bus Stop"
"Blk 615",1.368368665,103.884927,"Bus Stop"
"Cold Storage Hougang",1.359544509,103.8851691,"Market"
"Blk 504",1.374773333,103.8481053,"Bus Stop"
"Blk 502",1.376153348,103.8499921,"Bus Stop"
"Opp Blk 504",1.374621421,103.8478247,"Bus Stop"
"Blk 133",1.366177895,103.8749203,"Bus Stop"
"Toho Green",1.366058048,103.8752212,"Bus Stop"
"Blk 141a",1.367664707,103.874291,"Bus Stop"
"Bef Nativity Ch Ctr",1.366238342,103.8912913,"Bus Stop"
"Blk 209",1.369186094,103.8433202,"Bus Stop"
"Opp Al-Muttaqin Mque",1.37008641,103.8453411,"Bus Stop"
"Blk 700b",1.369135186,103.8461801,"Bus Stop"
"Opp Hougang Plaza",1.37037139,103.8960325,"Bus Stop"
"Hougang Plaza",1.370165,103.89536,"Bus Stop"
"Blk 327",1.368093555,103.8958922,"Bus Stop"
"Blk 128",1.365146389,103.8724903,"Bus Stop"
"Blk 126",1.366021722,103.8722864,"Bus Stop"
"Aft Serangoon Nth Ave 1",1.364262778,103.8740397,"Bus Stop"
"Blk 138",1.368146382,103.8757308,"Bus Stop"
"Ntuc Fairprice (Hyper Hougang One)",1.375667284,103.8794503,"Market"
"Blk 515",1.3737108,103.9435108,"Bus Stop"
"Opp Blk 515",1.3737649,103.9426659,"Bus Stop"
"Opp Blk 571",1.372663,103.9455728,"Bus Stop"
"Blk 427",1.36968919,103.8540476,"Bus Stop"
"Opp Blk 634",1.369217378,103.8781473,"Bus Stop"
"Blk 634",1.369904639,103.8778065,"Bus Stop"
"Opp Blk 139",1.36856637,103.876271,"Bus Stop"
"Bef Toh Cl",1.363311111,103.9703883,"Bus Stop"
"Aft Toh Cl",1.363372273,103.9699638,"Bus Stop"
"Blk 507",1.374181695,103.8507692,"Bus Stop"
"Blk 149a",1.362213889,103.962916,"Bus Stop"
"Opp Blk 149a",1.362261,103.963387,"Bus Stop"
"Bef Jln Batalong",1.361636407,103.9641429,"Bus Stop"
"Giant(Tampines Mart)",1.354593928,103.9601535,"Market"
"Blk 308",1.367126667,103.8964172,"Bus Stop"
"Blk 519",1.37380309,103.9452982,"Bus Stop"
"Blk 571",1.3727496,103.9459778,"Bus Stop"
"Giant(Tampines)",1.372224562,103.9320462,"Market"
"Bishan Mrt",1.350936233,103.8479367,"Train"
"Blk 257",1.359943333,103.8437957,"Bus Stop"
"Blk 245",1.360186702,103.8438602,"Bus Stop"
"Bishan Nth Shop Mall",1.358304328,103.8449621,"Bus Stop"
"Ntuc Fairprice (Bishan North Blk 279)",1.357464754,103.8439554,"Market"
"Junction 8 Shopping Centre",1.350685596,103.8489494,"Shopping Mall"
"Teck Ghee Ct",1.363589722,103.8478669,"Bus Stop"
"Ranggung Lrt",1.383803795,103.8984328,"Train"
"Blk 532",1.376344484,103.8914935,"Bus Stop"
"Punggol Cc",1.374685008,103.8926631,"Bus Stop"
"Blk 535",1.376345092,103.8905489,"Bus Stop"
"Giant(Hougang Green Shopping Mall)",1.379317835,103.8878471,"Market"
"Blk 527",1.372353056,103.8542292,"Bus Stop"
"Opp Blk 527",1.372061678,103.8548909,"Bus Stop"
"Blk 421",1.375050428,103.8951183,"Bus Stop"
"Blk 412",1.374816899,103.8952196,"Bus Stop"
"Blk 434",1.376687532,103.8939376,"Bus Stop"
"Ntuc Fairprice (Compassvale Link)",1.381858485,103.8939173,"Market"
"Opp Blk 569",1.369738889,103.9484981,"Bus Stop"
"Opp Bloxhome Dr",1.364121389,103.8610347,"Bus Stop"
"Opp Serangoon Gdn Circus",1.365936379,103.8619241,"Bus Stop"
"Opp Bishan Nth Shop Mall",1.358044737,103.8451693,"Bus Stop"
"Blk 231a Cp",1.374175177,103.9612256,"Bus Stop"
"Blk 485",1.374111399,103.9609385,"Bus Stop"
"Blk 230",1.372394963,103.9607802,"Bus Stop"
"Bright Hill Mrt Due 2020",1.362992,103.832878,"Train"
"Blk 223",1.365953312,103.8377307,"Bus Stop"
"Opp Mayflower Sec Sch",1.368807771,103.836794,"Bus Stop"
"Opp Blk 223",1.36558807,103.8380167,"Bus Stop"
"Bef Blk 187",1.36476142,103.959058,"Bus Stop"
"Aft Blk 182",1.36488943,103.9617691,"Bus Stop"
"Opp Blk 778",1.374376397,103.9387448,"Bus Stop"
"Blk 778",1.374197657,103.9386448,"Bus Stop"
"Ris Grandeur",1.373772168,103.9404132,"Bus Stop"
"Blk 564",1.369188614,103.8588615,"Bus Stop"
"Blk 561",1.370346605,103.8581855,"Bus Stop"
"Opp Blk 565",1.368901527,103.8583266,"Bus Stop"
"Ban Teck Han Bldg",1.375223044,103.8739314,"Bus Stop"
"Giant(Compassvale Bow)",1.381921351,103.8970715,"Market"
"Renjong Lrt",1.387443593,103.8904799,"Train"
"Montfort Sch",1.375286778,103.8891876,"Bus Stop"
"Opp Montfort Sch",1.374811105,103.8880821,"Bus Stop"
"Blk 531",1.375003406,103.8750162,"Bus Stop"
"Blk 504a Cp",1.373937621,103.8755129,"Bus Stop"
"Opp Blk 531",1.375192777,103.8748835,"Bus Stop"
"Serangoon Gdn Circus",1.363983333,103.8657892,"Bus Stop"
"Opp Penshurst Pl",1.363066332,103.8658838,"Bus Stop"
"Nex",1.350978103,103.8722868,"Shopping Mall"
"Changi Baptist Ch",1.365903561,103.9753497,"Bus Stop"
"Bef Al-Muttaqin Mque",1.370917861,103.8456365,"Bus Stop"
"Blk 1",1.363958056,103.8926128,"Bus Stop"
"Blk 21",1.364097852,103.8921356,"Bus Stop"
"Aft Hougang Ave 3",1.361728333,103.8942078,"Bus Stop"
"Bef Loyang Ave",1.364618475,103.967622,"Bus Stop"
"Bef Old Tampines Rd",1.364801282,103.9676518,"Bus Stop"
"Opp Blk 275",1.364388333,103.9654564,"Bus Stop"
"Blk 275",1.364737305,103.9653768,"Bus Stop"
"Marymount Mrt",1.349184032,103.8394173,"Train"
"Blk 260",1.359686641,103.8417353,"Bus Stop"
"Opp Blk 263a Cp",1.359506347,103.8413406,"Bus Stop"
"Junction 8",1.350481977,103.8487608,"Shopping Mall"
"Opp Ris Grandeur",1.374149728,103.9408118,"Bus Stop"
"Blk 612",1.374462782,103.9418058,"Bus Stop"
"Hougang Swim Cplx",1.369368049,103.8877923,"Bus Stop"
"Opp Trinity Meth Ch",1.363577789,103.8692911,"Bus Stop"
"Aft Trinity Meth Ch",1.363466982,103.8701921,"Bus Stop"
"Blk 555",1.371734416,103.8567189,"Bus Stop"
"Blk 549",1.373284742,103.8571539,"Bus Stop"
"Blk 574",1.371058333,103.8566583,"Bus Stop"
"Opp Blk 538",1.376134708,103.8532966,"Bus Stop"
"Blk 540",1.374878174,103.8548308,"Bus Stop"
"Blk 425",1.36936139,103.9550634,"Bus Stop"
"Blk 115",1.369085045,103.9550853,"Bus Stop"
"Blk 429",1.369950484,103.9569141,"Bus Stop"
"Opp Blk 507",1.374608105,103.8508896,"Bus Stop"
"Blk 632",1.370223333,103.880285,"Bus Stop"
"Opp Blk 640",1.375313315,103.9402726,"Bus Stop"
"Blk 508",1.371435555,103.8880596,"Bus Stop"
"Blk 602",1.371368343,103.8870299,"Bus Stop"
"Opp Anderson Jc",1.376890028,103.846172,"Bus Stop"
"Regentville",1.374882857,103.8782886,"Bus Stop"
"Blk 941a",1.374239946,103.8788297,"Bus Stop"
"Opp Downtown East",1.375066444,103.954048,"Bus Stop"
"Opp Blk 316",1.364398054,103.8968235,"Bus Stop"
"Opp Serangoon Jc",1.364376673,103.8898415,"Bus Stop"
"Serangoon Jc",1.364151668,103.8891428,"Bus Stop"
"Courts Ang Mo Kio",1.373504722,103.8453257,"Bus Stop"
"Opp Courts Ang Mo Kio",1.373483351,103.8449871,"Bus Stop"
"Opp Blk 555",1.368366661,103.951664,"Bus Stop"
"Blk 465a",1.372396669,103.8977736,"Bus Stop"
"Blk 834",1.369839921,103.8895673,"Bus Stop"
"Blk 836",1.369888187,103.8903344,"Bus Stop"
"Blk 355",1.372491357,103.8983747,"Bus Stop"
"Opp Blk 216",1.36906973,103.960248,"Bus Stop"
"Blk 216",1.369004997,103.9605218,"Bus Stop"
"Blk 104",1.368243612,103.9584812,"Bus Stop"
"Blk 681",1.372913042,103.8863375,"Bus Stop"
"Blk 465",1.366389736,103.8566054,"Bus Stop"
"Fernvale Lrt",1.392001013,103.8762417,"Train"
"Bet Blks 453/454",1.372110009,103.9576532,"Bus Stop"
"Blk 446",1.370311632,103.9571801,"Bus Stop"
"Blk 570",1.369490257,103.8560128,"Bus Stop"
"Blk 586",1.369963268,103.8535666,"Bus Stop"
"Blk 324",1.368754906,103.8466101,"Bus Stop"
"Bet Blks 142/148",1.368218338,103.8739176,"Bus Stop"
"Bef Jln Mariam",1.363211955,103.9673981,"Bus Stop"
"Aft Jln Mariam",1.36281876,103.9670262,"Bus Stop"
"Aft Jln Batalong",1.361899745,103.9645309,"Bus Stop"
"Blk 500a",1.376548076,103.9460282,"Bus Stop"
"Opp Blk 500a",1.377078031,103.9456657,"Bus Stop"
"Blk 325",1.367223342,103.899046,"Bus Stop"
"Opp Blk 321",1.367081344,103.8992644,"Bus Stop"
"Blk 541",1.369448546,103.9513045,"Bus Stop"
"Blk 316",1.364793324,103.8968501,"Bus Stop"
"Blk 129",1.369660125,103.8419391,"Bus Stop"
"Ang Mo Kio Pr Sch",1.369605779,103.8399327,"Bus Stop"
"Blk 220",1.364894705,103.8405742,"Bus Stop"
"Opp Blk 220",1.364671684,103.8405029,"Bus Stop"
"Blk 546",1.375283244,103.8701534,"Bus Stop"
"Bef Yio Chu Kang Rd",1.363118289,103.8723966,"Bus Stop"
"Aft Yio Chu Kang Rd",1.362918333,103.8723622,"Bus Stop"
"Upper Serangoon Shopping Centre",1.353480217,103.8788281,"Shopping Mall"
"Opp Blk 482",1.373443032,103.9598604,"Bus Stop"
"Blk 467",1.373688035,103.956356,"Bus Stop"
"Aft En-Naeem Mque",1.361201667,103.8914117,"Bus Stop"
"Wing Tai Bldg",1.361208844,103.8903311,"Bus Stop"
"Ntuc Fairprice (Hougang Blk 202)",1.357575588,103.8840385,"Market"
"Avila Gdns",1.360013889,103.9648761,"Bus Stop"
"Blk 633",1.378109454,103.941279,"Bus Stop"
"Aft Blk 601",1.378640012,103.9427635,"Bus Stop"
"Blk 344",1.370143349,103.900232,"Bus Stop"
"Opp Blk 344",1.369845584,103.9003762,"Bus Stop"
"Blk 350",1.372290759,103.9004624,"Bus Stop"
"Opp Ang Mo Kio Swim Cplx",1.362970011,103.8484912,"Bus Stop"
"Blk 331",1.36167975,103.850928,"Bus Stop"
"Changi Women's Prison",1.360751412,103.9709723,"Bus Stop"
"Opp Changi Women's Prison",1.360444129,103.9703768,"Bus Stop"
"Opp Blk 615",1.368118548,103.8845126,"Bus Stop"
"Blk 753",1.377462791,103.9347603,"Bus Stop"
"Blk 354",1.363984674,103.8523779,"Bus Stop"
"Blk 420",1.364497725,103.8524798,"Bus Stop"
"Meridian Jc",1.376943247,103.936332,"Bus Stop"
"Blk 741",1.377524923,103.9365757,"Bus Stop"
"Opp Blk 601",1.379029158,103.9427159,"Bus Stop"
"Blk 679",1.371156663,103.8851441,"Bus Stop"
"Blk 608",1.370796667,103.88521,"Bus Stop"
"Blk 568",1.378094475,103.8893028,"Bus Stop"
"Bef Pasir Ris Way",1.380426378,103.9454714,"Bus Stop"
"Bef Pasir Ris Ave",1.380421389,103.9463792,"Bus Stop"
"Opp Brockhampton Dr",1.362086389,103.8596653,"Bus Stop"
"Blk 475",1.362889989,103.855948,"Bus Stop"
"Aft Pasir Ris Rd",1.380526387,103.9482622,"Bus Stop"
"Serangoon Gdn Sch",1.360656111,103.8598394,"Bus Stop"
"Rio Vista",1.372405202,103.9006764,"Bus Stop"
"Rivervale Plaza",1.385553097,103.9019607,"Shopping Mall"
"Opp Crowhurst Dr",1.361237763,103.8646433,"Bus Stop"
"Ntuc Fairprice (Serangoon Central)",1.353682695,103.8709133,"Market"
"Blk 613",1.375556401,103.9412491,"Bus Stop"
