"amenity","latitude","longitude","type"
"Blk 974",1.339252023,103.6931057,"Bus Stop"
"Bef Yunnan Cres",1.340436472,103.6913582,"Bus Stop"
"Yew Tee Stn",1.397402697,103.7475549,"Bus Stop"
"Blk 510",1.352830679,103.7550517,"Bus Stop"
"Cold Storage West Coast Plaza",1.303818111,103.7662664,"Market"
"Blk 730",1.305135632,103.7627418,"Bus Stop"
"Blk 705",1.305050556,103.7605839,"Bus Stop"
"Tien Wah Press Bldg",1.304834167,103.7603536,"Bus Stop"
"Opp Blk 217",1.346303106,103.7542161,"Bus Stop"
"Clementi Stadium",1.310995,103.7635,"Bus Stop"
"Clementi Int",1.314915729,103.7641223,"Bus Stop"
"West View Pr Sch",1.383724393,103.7606888,"Bus Stop"
"Blk 610",1.38338693,103.7609562,"Bus Stop"
"Blk 289e",1.344064118,103.7586133,"Bus Stop"
"Blk 644",1.348686769,103.7520709,"Bus Stop"
"Lakeside Apt",1.336708866,103.7251798,"Bus Stop"
"Opp Chinese Gdn",1.338730149,103.7240217,"Bus Stop"
"Blk 334",1.365125019,103.7478861,"Bus Stop"
"Opp Blk 336",1.365273465,103.7482497,"Bus Stop"
"Hometeamns",1.36545844,103.750602,"Bus Stop"
"Lakepoint Condo",1.340103561,103.7162593,"Bus Stop"
"Opp Lakepoint Condo",1.340049722,103.7160683,"Bus Stop"
"Aft Corporation Rd",1.337935099,103.7181621,"Bus Stop"
"Blk 563",1.3956586,103.7454087,"Bus Stop"
"Opp Blk 291e",1.34376366,103.7542378,"Bus Stop"
"Blk 291e",1.343590931,103.754364,"Bus Stop"
"Opp Lakeside Apt",1.336301262,103.7250087,"Bus Stop"
"Opp Yew Tee Stn",1.39743804,103.7478651,"Bus Stop"
"Opp Blk 117",1.334761036,103.7224281,"Bus Stop"
"Blk 117",1.334683562,103.7226849,"Bus Stop"
"Opp Jurong Stadium",1.333309472,103.7205129,"Bus Stop"
"Blk 621",1.398848987,103.7470399,"Bus Stop"
"Yuan Ching Sec Sch",1.341765605,103.7214143,"Bus Stop"
"Blk 503",1.351092789,103.7536205,"Bus Stop"
"Opp Blk 670",1.403514518,103.7476735,"Bus Stop"
"Blk 619",1.400638044,103.7473818,"Bus Stop"
"Opp Blk 134d",1.341342145,103.7220952,"Bus Stop"
"Blk 924",1.340337778,103.6900514,"Bus Stop"
"Juying Pr Sch",1.339065251,103.688758,"Bus Stop"
"Blk 920",1.339704021,103.6876736,"Bus Stop"
"Blk 537a Cp",1.384967631,103.762921,"Bus Stop"
"Opp Dunearn Sec Sch",1.36459986,103.7434568,"Bus Stop"
"Blk 201",1.320581947,103.7635659,"Bus Stop"
"Blk 290h",1.344078361,103.7582917,"Bus Stop"
"Blk 288c",1.346384928,103.7593134,"Bus Stop"
"Blk 541a Cp",1.382070413,103.762963,"Bus Stop"
"Opp Bt Gombak Stadium",1.357451635,103.7528743,"Bus Stop"
"Opp Choa Chu Kang Polyclinic",1.38152,103.7514011,"Bus Stop"
"Jurong Stadium",1.332909822,103.7204454,"Bus Stop"
"Jurong Town Swim Cplx",1.331380758,103.7198636,"Bus Stop"
"Bt Gombak Stadium",1.357412039,103.7531106,"Bus Stop"
"Katong Park Mrt Due 2023",1.297942,103.886135,"Train"
"Amber Mrt Due 2023",1.299591,103.897357,"Train"
"Dakota Mrt",1.308264577,103.8881107,"Train"
"Cp B1",1.295355445,103.8924624,"Bus Stop"
"Ntuc Fairprice (Jalan Tiga)",1.307807958,103.8847676,"Market"
"Ntuc Fairprice (Katong Village)",1.303750866,103.9029225,"Market"
"Cold Storage Parkway Parade",1.301080032,103.9052818,"Market"
"Katong Shopping Centre",1.303819735,103.9010397,"Shopping Mall"
"Katong V",1.303849637,103.90285,"Shopping Mall"
"Parkway Parade",1.301080032,103.9052818,"Shopping Mall"
"Cold Storage Takashimaya",1.302424172,103.8346761,"Market"
"Pearl's Ctr",1.281545833,103.8408772,"Bus Stop"
"Outram Pk Stn",1.281682371,103.8387564,"Bus Stop"
"Opp Pearl's Ctr",1.281183889,103.84105,"Bus Stop"
"Marine Parade Mrt Due 2023",1.303611,103.906721,"Train"
"Opp Playground@ Big Splash",1.297981194,103.9005182,"Bus Stop"
"Giant(Parkway)",1.301080033,103.9052818,"Market"
"Tg Katong Rd Sth P/G",1.300799999,103.8974011,"Bus Stop"
"One Amber",1.301241978,103.8974511,"Bus Stop"
"Upper Thomson Mrt Due 2020",1.35425,103.832944,"Train"
"Bef Thomson Plaza",1.354496944,103.8324744,"Bus Stop"
"Opp Thomson Plaza",1.35539999,103.8314804,"Bus Stop"
"Ntuc Fairprice (Thomson Plaza)",1.354650195,103.830945,"Market"
"Thomson Plaza",1.354324575,103.8303278,"Shopping Mall"
"Kkh The Retail Mall",1.355226372,103.8231339,"Shopping Mall"
"Marine Terrace Mrt Due 2023",1.306856,103.915732,"Train"
"Opp Blk 72",1.304618347,103.907833,"Bus Stop"
"Bet Blks 72/74",1.304251398,103.9077335,"Bus Stop"
"Bef Grand Hotel",1.30610999,103.9095285,"Bus Stop"
"Giant(Marine Parade Central)",1.302480755,103.9067916,"Market"
"Ntuc Marine Parade",1.301349,103.907209,"Market"
"Ntuc Fairprice (Marine Parade)",1.301337467,103.9071772,"Market"
"112 Katong",1.305205832,103.9050444,"Shopping Mall"
"Orchard Boulevard Mrt Due 2021",1.302358,103.823578,"Train"
"Bef One Tree Hill",1.300381667,103.8241475,"Bus Stop"
"Aft One Tree Hill",1.300232237,103.8240347,"Bus Stop"
"Tanglin Market Place",1.304853421,103.8238835,"Market"
"Threesixty Market Place",1.304036763,103.8317793,"Market"
"Tanglin Mall",1.304853421,103.8238835,"Shopping Mall"
"Forum The Shopping Mall",1.306052543,103.8287097,"Shopping Mall"
"Royal Plaza On Scotts",1.307022384,103.8326552,"Bus Stop"
"Tang Plaza",1.304460652,103.8329447,"Bus Stop"
"Tangs Plaza",1.305108311,103.8328764,"Shopping Mall"
"Shaw Centre",1.306057624,103.8320362,"Shopping Mall"
"Woodlands South Mrt Due 2019",1.427303,103.793269,"Train"
"Woodlands Mrt",1.437033674,103.786438,"Train"
"Admiralty Mrt",1.440611382,103.8008702,"Train"
"Blk 589",1.427640931,103.7958715,"Bus Stop"
"Opp Blk 589",1.427428261,103.7960033,"Bus Stop"
"Giant(Vista Point)",1.430863373,103.7939338,"Market"
"Ntuc Fairprice (Woodlands Ave 1)",1.430873127,103.7905758,"Market"
"Ntuc Fairprice (Woodlands Blk 888)",1.437118559,103.7953161,"Market"
"Vista Point",1.430941869,103.793938,"Shopping Mall"
"888 Plaza",1.437122348,103.7953141,"Shopping Mall"
"Causeway Point",1.436088676,103.78601,"Shopping Mall"
"The Holy Family Ch",1.306864005,103.9064613,"Bus Stop"
"Opp The Holy Family Ch",1.307222071,103.9067227,"Bus Stop"
"Siglap Mrt Due 2023",1.309871,103.93,"Train"
"Blk 19",1.304964238,103.9149356,"Bus Stop"
"Blk 53",1.305157307,103.9162016,"Bus Stop"
"Blk 57",1.306578069,103.9148767,"Bus Stop"
"Siglap Shopping Centre",1.312906247,103.9241639,"Shopping Mall"
"Opp Blk 583",1.430462083,103.7947023,"Bus Stop"
"Opp British Council",1.305810227,103.8218223,"Bus Stop"
"S'pore Botanic Gdns",1.306738022,103.8201308,"Bus Stop"
"British Council",1.305435,103.8217767,"Bus Stop"
"The Regent S'pore",1.304886531,103.8254976,"Bus Stop"
"Aft Cuscaden Rd",1.303690214,103.8236401,"Bus Stop"
"Grange Residences",1.30392,103.8233381,"Bus Stop"
"Mountbatten Mrt",1.306087953,103.883039,"Train"
"Stadium Mrt",1.302870563,103.8752135,"Train"
"Opp Dunman High Sch",1.29795474,103.8825818,"Bus Stop"
"Fort Gdns",1.299305,103.8853339,"Bus Stop"
"Dunman High Sch",1.298106369,103.8823231,"Bus Stop"
"Cold Storage Kallang Leisure Park",1.302335707,103.8764464,"Market"
"Ntuc Fairprice (Hyper Sports Hub)",1.303842606,103.8727504,"Market"
"Leisure Park Kallang",1.302300417,103.8764736,"Shopping Mall"
"Kallang Wave Mall",1.303842606,103.8727504,"Shopping Mall"
"Opp Blk 57",1.306862778,103.9148067,"Bus Stop"
"Tanjong Pagar Mrt",1.276662979,103.8462566,"Train"
"Aft Capital Twr",1.277825954,103.8481012,"Bus Stop"
"Opp Axa Twr",1.275522189,103.8479444,"Bus Stop"
"Tanjong Pagar Centre",1.27672426,103.8451551,"Shopping Mall"
"Opp Chij Katong Convent",1.306337172,103.9166522,"Bus Stop"
"Cold Storage Siglap",1.312605659,103.9231681,"Market"
"Opp Gb Bldg",1.278921246,103.8477623,"Bus Stop"
"Tanjong Rhu Mrt Due 2023",1.297433,103.873326,"Train"
"Pebble Bay",1.297187778,103.8722247,"Bus Stop"
"Opp Pebble Bay",1.297006696,103.8725309,"Bus Stop"
"Pk Shore Condo",1.296970915,103.8696136,"Bus Stop"
"Golden Mile Shopping Centre",1.302770539,103.8651718,"Shopping Mall"
"Bef Tomlinson Rd",1.303973792,103.8269965,"Bus Stop"
"Ntuc Fairprice (Upper Boon Keng)",1.312659336,103.872543,"Market"
"Opp Fort Gdns",1.299138326,103.8855302,"Bus Stop"
"The Seafront/Meyer Rd",1.297731,103.888263,"Bus Stop"
"Havelock Mrt Due 2021",1.289551,103.833652,"Train"
"Great World Mrt Due 2021",1.293155,103.832837,"Train"
"Grand Copthorne Hotel",1.290781621,103.8344092,"Bus Stop"
"Opp Holiday Inn Atrium",1.289840457,103.8341153,"Bus Stop"
"Holiday Inn Atrium",1.289633009,103.8338124,"Bus Stop"
"Cold Storage Great World City",1.293477182,103.831973,"Market"
"Concorde",1.288886057,103.8342068,"Shopping Mall"
"Concorde Shopping Centre",1.28888539,103.8342065,"Shopping Mall"
"Great World City",1.293477182,103.831973,"Shopping Mall"
"Paterson Lodge",1.302660531,103.829878,"Bus Stop"
"Opp Four Seasons Hotel",1.304537526,103.8291453,"Bus Stop"
"Opp Paterson Lodge",1.302299269,103.8299923,"Bus Stop"
"Wheelock Place",1.30453636,103.8307142,"Shopping Mall"
"Far East Shopping Centre",1.305505441,103.8299845,"Shopping Mall"
"Ion Orchard",1.305792433,103.8315319,"Shopping Mall"
"Amber Gdn",1.301784418,103.9009525,"Bus Stop"
"Opp Amber Gdn",1.301663045,103.9011815,"Bus Stop"
"Opp Lucky Twr",1.2992575,103.8266525,"Bus Stop"
"Opp S'pore Botanic Gdns",1.306348492,103.8198382,"Bus Stop"
"Airview Twr",1.295911389,103.8362428,"Bus Stop"
"The Morningside",1.295751111,103.8360411,"Bus Stop"
"313@Somerset (Green Mark Buildings)",1.30100591,103.8382463,"Shopping Mall"
"313 @ Somerset",1.301013688,103.8383604,"Shopping Mall"
"Orchard Gateway",1.300442587,103.8394424,"Shopping Mall"
"Mutiara View",1.294849549,103.8285255,"Bus Stop"
"Valley Pk Condo",1.29488,103.8288081,"Bus Stop"
"Mutiara Crest",1.295448293,103.8295417,"Bus Stop"
"Cold Storage Valley Point",1.293017848,103.8269408,"Market"
"Ntuc Fairprice (Valley Point)",1.293017848,103.8269408,"Market"
"Valley Point",1.293017848,103.8269408,"Shopping Mall"
"Valley Point Shopping Centre",1.293017185,103.8269405,"Shopping Mall"
"Paya Lebar Mrt",1.318298365,103.8929318,"Train"
"Aft Lor 34 Geylang",1.314026024,103.8872907,"Bus Stop"
"The Sunny Spring Condo",1.312125692,103.8896603,"Bus Stop"
"Ntuc Fairprice (Geylang Lorong 38)",1.3141524,103.8885472,"Market"
"Sheng Siong Hypermarket(Tanjong Katong)",1.314270101,103.8947556,"Market"
"Giant(Tanjong Katong Complex)",1.316450517,103.8943674,"Market"
"One Km",1.314604513,103.8947265,"Shopping Mall"
"Ai Tong Sch",1.360809722,103.8321175,"Bus Stop"
"Opp Ai Tong Sch",1.361256667,103.8319617,"Bus Stop"
"Springleaf Mrt Due 2020",1.398322,103.817838,"Train"
"Bedok South Mrt Due 2024",1.317183,103.949842,"Train"
" Sungei Bedok Mrt (Dt37 Te31) Downtown Line Due 20",1.320288,103.957039,"Train"
"Tanah Merah Mrt",1.327056065,103.9459695,"Train"
"Opp Kew Green Condo",1.318096686,103.9508566,"Bus Stop"
"Temasek Sec Sch",1.317071377,103.9479809,"Bus Stop"
"Cold Storage Eastwood",1.321447681,103.9554195,"Market"
"Ntuc Fairprice (New Upper Changi)",1.32425201,103.9415719,"Market"
"Giant(Bedok Market Place Complex)",1.331349501,103.9483072,"Market"
"The Pines",1.313888056,103.8273878,"Bus Stop"
"Chelsea Gdn Condo",1.313589722,103.8274306,"Bus Stop"
"Bayshore Mrt Due 2023",1.312892,103.941685,"Train"
"Ntuc Fairprice (Siglap New Market)",1.312307521,103.9252345,"Market"
"Sheng Siong Hypermarket(New Upper Changi)",1.324654833,103.9312048,"Market"
"Bishan Pk Sec Sch",1.363739827,103.8337932,"Bus Stop"
"Royal Thai Embassy",1.305879662,103.83049,"Bus Stop"
"Opp Great World City",1.293626774,103.8328385,"Bus Stop"
"The Trillium",1.295042619,103.8320553,"Bus Stop"
"Katong Pk Twrs",1.300526389,103.8883133,"Bus Stop"
"Opp Santa Fe Mans",1.300464708,103.8894692,"Bus Stop"
"St. Patrick's Green",1.309280647,103.9143452,"Bus Stop"
"Lucky Plaza",1.303866844,103.8341307,"Bus Stop"
"Bef Jln Todak",1.353626646,103.8342217,"Bus Stop"
"Blk 23",1.354661389,103.8363069,"Bus Stop"
"Aft Tg Katong Rd",1.301306399,103.8952667,"Bus Stop"
"Bef Thomson Ridge",1.353078316,103.834364,"Bus Stop"
"Sin Ming Plaza",1.353039634,103.8358231,"Bus Stop"
"Opp Blk 255",1.371076646,103.8348293,"Bus Stop"
"Blk 255",1.370898333,103.8347669,"Bus Stop"
"Opp One Amber",1.302703333,103.8993139,"Bus Stop"
"Tiong Bahru Mrt",1.28610483,103.8272633,"Train"
"Ntuc Fairprice (Bukit Ho Swee)",1.289764756,103.8268029,"Market"
"Bef Outram Rd",1.279008197,103.8386036,"Bus Stop"
"Bef The Pinnacle@Duxton",1.278368849,103.8413465,"Bus Stop"
"Orchard Stn",1.303237273,103.8325418,"Bus Stop"
"Opp Orchard Stn",1.302528348,103.8323978,"Bus Stop"
"Wisma Atria",1.303698907,103.8331896,"Shopping Mall"
"Opp Laguna Pk",1.309836372,103.9293754,"Bus Stop"
"Laguna Pk",1.309584748,103.9295415,"Bus Stop"
"Opp Tg Ria Condo",1.296633057,103.8753931,"Bus Stop"
"Tg Ria Condo",1.297006376,103.8755108,"Bus Stop"
"Opp Chiang Ct",1.31342708,103.9290333,"Bus Stop"
"Opp Siglap Sth Cc",1.313988353,103.9315743,"Bus Stop"
"Opp Goodwill Ct",1.312958101,103.9279061,"Bus Stop"
"Aft Sle",1.396345266,103.8184117,"Bus Stop"
"Opp Former Seletar Inst",1.396068178,103.8188299,"Bus Stop"
"The Summit",1.315046708,103.9408994,"Bus Stop"
"Opp The Summit",1.31485364,103.9406633,"Bus Stop"
"Calvary Ably Of God Ch",1.315363333,103.9429414,"Bus Stop"
"Giant(Bedok North Street 1)",1.326059255,103.933485,"Market"
"Bef St. Patrick's Rd",1.307935353,103.9126289,"Bus Stop"
"Kew Green Condo",1.318436667,103.9513833,"Bus Stop"
"Blk 94",1.288370864,103.8334988,"Bus Stop"
"Blk 2b",1.286858595,103.8336003,"Bus Stop"
"Ntuc Fairprice (Kim Tian)",1.284807341,103.829298,"Market"
"Ntuc Fairprice (Tiong Bahru Plaza)",1.286130378,103.8273507,"Market"
"Tiong Bahru Plaza",1.286130378,103.8273507,"Shopping Mall"
"Hub Synergy Pt",1.273978369,103.8448956,"Bus Stop"
"The Amara",1.274706695,103.8431868,"Bus Stop"
"Tg Pagar Plaza",1.275191657,103.8430919,"Bus Stop"
"Eunos Stn",1.318761626,103.902269,"Bus Stop"
"Aft Ge Life Ctr",1.317095375,103.9029515,"Bus Stop"
"Eunos Int",1.319337172,103.9018083,"Bus Stop"
"Ntuc Fairprice (Joo Chiat Complex)",1.315521868,103.8990541,"Market"
"Redhill Mrt",1.289676461,103.816645,"Train"
"Queenstown Mrt",1.294660329,103.8059497,"Train"
"Opp Tanglin View",1.29116,103.8175767,"Bus Stop"
"Tanglin View",1.291513732,103.8175766,"Bus Stop"
"Redhill Stn",1.289546317,103.8167289,"Bus Stop"
"Giant(Redhill Close)",1.286917727,103.8186759,"Market"
"Ntuc Fairprice (Dawson)",1.292702527,103.8109718,"Market"
"Ntuc Fairprice (Bukit Merah)",1.283119497,103.8176429,"Market"
"Dawson Place",1.292702732,103.8109586,"Shopping Mall"
"Bedok Int",1.324538743,103.9290382,"Bus Stop"
"Bedok Stn",1.324282923,103.9300363,"Bus Stop"
"Ntuc Fairprice (Bedok Mall)",1.324771408,103.9292673,"Market"
"Aft Kallang Rd",1.3095075,103.8635014,"Bus Stop"
"Bef Kallang Rd",1.310173367,103.8633823,"Bus Stop"
"Lavender Stn",1.307574267,103.863256,"Bus Stop"
"Southbank",1.306475556,103.8645253,"Bus Stop"
"Tanah Merah Stn",1.326844378,103.9464599,"Bus Stop"
"Aft King George's Ave",1.308249945,103.8589096,"Bus Stop"
"Buona Vista Mrt",1.307301876,103.7899256,"Train"
"One North Mrt",1.299735993,103.7874454,"Train"
"Blk 50",1.300970556,103.7968519,"Bus Stop"
"Blk 72",1.300349722,103.7970728,"Bus Stop"
"C'wealth Stn",1.302133056,103.7983908,"Bus Stop"
"Blk 53a Cp",1.293198611,103.8074469,"Bus Stop"
"Queenstown Stn",1.294637051,103.8058251,"Bus Stop"
"Ntuc Fairprice (Stirling Road)",1.290911283,103.8031208,"Market"
"Cold Storage Anchorpoint",1.288614688,103.80501,"Market"
"Anchorpoint",1.288614688,103.80501,"Shopping Mall"
"Anchorpoint Shopping Centre",1.288614023,103.8050096,"Shopping Mall"
"Delta Sports Hall",1.290903358,103.8204723,"Bus Stop"
"Kembangan Stn",1.320968592,103.9133278,"Bus Stop"
"Bef Siglap Plain",1.319768333,103.9150542,"Bus Stop"
"Ntuc Fairprice (Chai Chee)",1.323960832,103.9238574,"Market"
"Aft Frankel Terr",1.318703056,103.9145958,"Bus Stop"
"Bef Frankel Terr",1.318607741,103.9144099,"Bus Stop"
"Aljunied Stn",1.315323187,103.8833517,"Bus Stop"
"Aft Lor 28 Geylang",1.313598696,103.8849753,"Bus Stop"
"Opp Scn Ctr",1.313893056,103.8818961,"Bus Stop"
"Intl Plaza",1.275703395,103.8463247,"Bus Stop"
"Bef Wallich St",1.277694131,103.8437065,"Bus Stop"
"Opp Mas Bldg",1.274078889,103.8468739,"Bus Stop"
"Opp Queensway Sec Sch",1.302657778,103.8011869,"Bus Stop"
"Queensway Sec Sch",1.302368532,103.8016176,"Bus Stop"
"Opp Blk 115b",1.30454,103.7983633,"Bus Stop"
"Mjd Kassim",1.318889006,103.9122267,"Bus Stop"
"Kallang Mrt",1.311459,103.871035,"Train"
"Aft Kallang Rd Erp Gantry",1.30941874,103.867535,"Bus Stop"
"Opp Sri Manmatha K Tp",1.309724829,103.8674306,"Bus Stop"
"Opp Lor 1 Geylang Ter",1.309923362,103.8714434,"Bus Stop"
"Giant(Upper Boon Keng Road)",1.314255983,103.870911,"Market"
"Macdonald Hse",1.298958343,103.8465412,"Bus Stop"
"Dhoby Ghaut Stn",1.299309973,103.8452902,"Bus Stop"
"Sembawang Mrt",1.449134547,103.8199031,"Train"
"Canberra U+C (Ns12)",1.444085,103.829224,"Train"
"Blk 339 Cp",1.448592648,103.8170658,"Bus Stop"
"Blk 358a Cp",1.448750841,103.8168059,"Bus Stop"
"Sun Plaza",1.448031488,103.8189521,"Bus Stop"
"Ntuc Fairprice (Sembawang Way Blk 355)",1.449543105,103.8187263,"Market"
"Ntuc Fairprice (Sun Plaza)",1.448194687,103.8195018,"Market"
"Giant(Sembawang Drive)",1.452387007,103.8174433,"Market"
"Sembawang Mart",1.453768,103.81964,"Shopping Mall"
"Sembawang Shopping Centre",1.44182404,103.8248449,"Shopping Mall"
"Singapore Shopping Centre",1.298151988,103.844111,"Shopping Mall"
"Braddell Mrt",1.340774423,103.8464691,"Train"
"Caldecott Mrt",1.337619025,103.8395175,"Train"
"Opp Blk 177",1.33430499,103.8487842,"Bus Stop"
"Blk 177",1.334121944,103.8489481,"Bus Stop"
"Blk 84b",1.335473017,103.8466386,"Bus Stop"
"Ntuc Fairprice Toa Payoh Lorong 4",1.338957,103.849147,"Market"
"Hdb Hub",1.332070502,103.8484967,"Shopping Mall"
"Khatib Mrt",1.417407754,103.8329676,"Train"
"Yishun Mrt",1.429411561,103.8350007,"Train"
"Opp Khatib Stn",1.417009982,103.8333998,"Bus Stop"
"Bef Khatib Stn",1.416254201,103.8325916,"Bus Stop"
"Blk 846",1.417426128,103.8350306,"Bus Stop"
"Giant(Khatib)",1.41758906,103.833061,"Market"
"Sheng Siong Supermarket(Yishun 845)",1.415968489,103.8350145,"Market"
"Ntuc Fairprice (Khatib)",1.416959241,103.8353519,"Market"
"Wisteria Mall",1.418165949,103.8412834,"Shopping Mall"
"Northpoint Shopping Centre",1.429697819,103.8357762,"Shopping Mall"
"Northpoint",1.429715555,103.8358035,"Shopping Mall"
"Aft Northpoint Shop Ctr",1.428563444,103.8354475,"Bus Stop"
"Northpoint Shop Ctr",1.429458361,103.8354886,"Bus Stop"
"Yishun Stn",1.429266069,103.835162,"Bus Stop"
"Ntuc Fairprice (Yishun Mrt",1.429198061,103.8349741,"Market"
"Cold Storage Northpoint",1.429715555,103.8358035,"Market"
"Giant(Yishun Central 1)",1.427500989,103.8371343,"Market"
"Junction Nine",1.433122174,103.8416607,"Shopping Mall"
"Opp Novena Lodge",1.323541087,103.8418933,"Bus Stop"
"Novena Lodge",1.323623333,103.8416155,"Bus Stop"
"Novena Ch",1.321099684,103.842243,"Bus Stop"
"Ntuc Fairprice (Square 2)",1.32068386,103.8442271,"Market"
"Square 2",1.32068386,103.8442271,"Shopping Mall"
"Velocity @ Novena Square",1.319788825,103.8440332,"Shopping Mall"
"Natl Youth Council",1.300442518,103.836238,"Bus Stop"
"Somerset Stn",1.300275693,103.8387762,"Bus Stop"
"Blk 666",1.439351034,103.797358,"Bus Stop"
"Blk 706",1.439644444,103.7974003,"Bus Stop"
"Giant(Admiralty)",1.440538153,103.8009776,"Market"
"Giant(Woodlands Mart)",1.44564787,103.7981623,"Market"
"Admiralty Place",1.439631951,103.8021213,"Shopping Mall"
"Woodlands Mart",1.445647203,103.798162,"Shopping Mall"
"Orchard Shopping Centre",1.301484331,103.837888,"Shopping Mall"
"Opp Novena Ch",1.321273073,103.8417717,"Bus Stop"
"Opp Toa Payoh Stn",1.33306634,103.8465607,"Bus Stop"
"Oleander Twrs",1.332718333,103.8440442,"Bus Stop"
"Toa Payoh Stn",1.333185,103.8467831,"Bus Stop"
"Novena Stn",1.31962671,103.8434386,"Bus Stop"
"St. Michael's Sch",1.318295032,103.8458185,"Bus Stop"
"Revival Ctr Ch",1.31875833,103.846555,"Bus Stop"
"Toa Payoh Int",1.332020834,103.8469276,"Bus Stop"
"St. Andrew's Cath",1.292500065,103.8514532,"Bus Stop"
"Opp Peninsula Plaza",1.292082215,103.8512599,"Bus Stop"
"Capitol Bldg",1.294002031,103.8512898,"Bus Stop"
"Peninsula Shopping Complex",1.291807229,103.8502723,"Shopping Mall"
"Excelsior Shopping Centre",1.292015263,103.8498201,"Shopping Mall"
"Raffles City Shopping Centre (Retail) (Friendly Buildings)",1.293759618,103.852768,"Shopping Mall"
"Blk 145",1.430618611,103.83218,"Bus Stop"
"Blk 731",1.428574385,103.8305483,"Bus Stop"
"Giant(Yishun Street 72)",1.428347047,103.8311188,"Market"
"Blk 121",1.339180307,103.8465076,"Bus Stop"
"Blk 101c Cp",1.339258732,103.8467845,"Bus Stop"
"Sheng Siong Hypermarket(Lorong 7 Toa Payoh)",1.338942,103.85532,"Market"
"Opp Haw Par Glass Twr",1.29706985,103.8436103,"Bus Stop"
"Orchard Central",1.299466432,103.8420472,"Shopping Mall"
"West Coast Plaza",1.299466432,103.8420472,"Shopping Mall"
"Giant(Sembawang)",1.441853253,103.8248324,"Market"
"Midpoint Orchard",1.301542625,103.8385248,"Bus Stop"
"The Centrepoint",1.301930308,103.8398132,"Shopping Mall"
"313@Somerset",1.301951058,103.8382984,"Shopping Mall"
"Og Orchard Point",1.301372708,103.8405541,"Shopping Mall"
"Aft Haw Par Glass Twr",1.296246337,103.8440701,"Bus Stop"
"Blk 154",1.431652454,103.8351081,"Bus Stop"
"Yishun Temp Int",1.429973709,103.8374345,"Bus Stop"
"Bef Yishun Stn",1.427776209,103.8351872,"Bus Stop"
"Orchard Plaza",1.300739684,103.841005,"Bus Stop"
"Opp Yishun Polyclinic",1.426314916,103.8376286,"Bus Stop"
"Blk 1004",1.343599183,103.8473654,"Bus Stop"
"Blk 111",1.340938301,103.8454065,"Bus Stop"
"Opp Braddell Stn",1.340949885,103.8477798,"Bus Stop"
"Ntuc Fairprice (Bishan Blk 510)",1.348888481,103.8496922,"Market"
"Blk 353",1.451306124,103.8190292,"Bus Stop"
"Bet Blks 415/416",1.45151629,103.8189253,"Bus Stop"
"Blk 351 Cp",1.450962723,103.8207523,"Bus Stop"
"Ntuc Fairprice (Canberra Road Blk 511)",1.453775804,103.8195905,"Market"
"Trellis Twrs",1.329914169,103.8438184,"Bus Stop"
"Opp Trellis Twrs",1.329314772,103.8438289,"Bus Stop"
"Marsiling Mrt",1.432604416,103.7739729,"Train"
"Kranji Mrt",1.425304742,103.7619907,"Train"
"Opp Blk 154",1.434754178,103.7758535,"Bus Stop"
"Marsiling Stn",1.432378333,103.7742933,"Bus Stop"
"Ntuc Fairprice (Marsiling Mrt",1.432634811,103.7740042,"Market"
"Sheng Siong Supermarket(Woodlands 301)",1.429419909,103.7749949,"Market"
"Ntuc Fairprice (Woodgrove)",1.429402116,103.7813251,"Market"
"Opp Hotel Royal",1.317435,103.8414379,"Bus Stop"
"Hotel Royal",1.317021631,103.8416478,"Bus Stop"
"United Sq",1.317353354,103.844217,"Bus Stop"
"Blk 798",1.418701415,103.8329338,"Bus Stop"
"Opp Blk 798",1.418493324,103.832939,"Bus Stop"
"Naval Base Sec Sch",1.419680292,103.831796,"Bus Stop"
"Woodlands North Mrt Due 2019",1.446716,103.787195,"Train"
"Blk 713",1.44215561,103.7975554,"Bus Stop"
"Opp Admiralty Stn",1.440888084,103.8001867,"Bus Stop"
"Opp Marsiling Stn",1.432081528,103.7745969,"Bus Stop"
"Blk 303",1.43068959,103.7732261,"Bus Stop"
"Opp Blk 201",1.43014844,103.8379316,"Bus Stop"
"Ntuc Fairprice (Yishun Blk 239)",1.433594527,103.8396867,"Market"
"Opp Blk 757",1.426572948,103.8353696,"Bus Stop"
"Opp Bishan Stn",1.351003056,103.8476588,"Bus Stop"
"Bishan Stn",1.350899978,103.8479799,"Bus Stop"
"Raffles Inst",1.348611389,103.8459236,"Bus Stop"
"Opp United Sq",1.316479416,103.8448428,"Bus Stop"
"Chancery Ct",1.316621389,103.8363436,"Bus Stop"
"Opp Yio Chu Kang Stn",1.381432514,103.8438923,"Bus Stop"
"Yio Chu Kang Stn",1.382619958,103.8438384,"Bus Stop"
"Blk 645",1.379524768,103.8426632,"Bus Stop"
"Admiralty Stn",1.440713576,103.8007075,"Bus Stop"
"Blk 354 Cp",1.450197954,103.8181046,"Bus Stop"
"Opp Raffles Inst",1.348491378,103.8452725,"Bus Stop"
"Blk 763",1.425563992,103.8349582,"Bus Stop"
"Opp Mandarin Orchard",1.302340042,103.8370125,"Bus Stop"
"Mandarin Gallery",1.302064505,103.836341,"Shopping Mall"
"Knightsbridge",1.302937287,103.8363553,"Shopping Mall"
"Ngee Ann City",1.302241019,103.8351816,"Shopping Mall"
